Elapsed Time since Epoch[min],ECI: X[km],ECI: Y[km],ECI: Z[km],Julian Date[days],GMST[deg],Geocentric Latitude[deg],Geocentric Longitude[deg],Geocentric Height[km],Geodetic Latitude[deg],Geodetic Longitude[deg],Geodetic Height[km]
20,-847.07454105,-1431.60084376,6562.12266134,2461163.66555388,280.67240589,75.77569049,-41.28509988,391.53581901,75.86155902,-41.28509988,411.63494612
21,-865.08559615,-978.83666316,6642.54809570,2461163.66624832,280.92309033,78.87415082,-52.39300267,391.64434843,78.94239375,-52.39300267,412.23630618
22,-879.11898961,-521.57182941,6692.34326705,2461163.66694277,281.17377477,81.31568683,-70.49357509,391.82206747,81.36947560,-70.49357509,412.72142358
23,-889.11093527,-61.90925577,6711.28419053,2461163.66763721,281.42445920,82.43533930,-97.44135329,392.06879431,82.48236349,-97.44135329,413.08455587
24,-895.01610676,398.03790126,6699.28813361,2461163.66833166,281.67514364,81.68145902,-125.65115396,392.38362247,81.73304264,-125.65115396,413.32272250
25,-896.80782831,856.15573922,6656.41389137,2461163.66902610,281.92582808,79.44864424,-145.59734883,392.76492101,79.51351597,-145.59734883,413.43573894
26,-894.47818725,1310.33909947,6582.86146697,2461163.66972055,282.17651251,76.44960093,-157.85785285,393.21034572,76.53169344,-157.85785285,413.42620009
27,-888.03806793,1758.50101860,6478.97115876,2461163.67041499,282.42719695,73.08747178,-165.63354974,393.71686128,73.18780302,-165.63354974,413.29941335
28,-877.51710671,2198.58211060,6345.22205562,2461163.67110943,282.67788139,69.54078478,-170.91952341,394.28077394,69.65886903,-170.91952341,413.06330458
29,-862.96356779,2628.55984822,6182.22994213,2461163.67180388,282.92856599,65.89114120,-174.75341277,394.89777419,66.02562019,-174.75341277,412.72818281
30,-844.44413950,3046.45771078,5990.74461572,2461163.67249832,283.17925043,62.17930394,-177.68646961,395.56298886,62.32823686,-177.68646961,412.30661951
31,-822.04365099,3450.35416469,5771.64661848,2461163.67319277,283.42993486,58.42746382,179.97090336,396.27104163,58.58848472,179.97090336,411.81314681
32,-795.86470916,3838.39144091,5525.94338778,2461163.67388721,283.68061930,54.64860996,178.03329321,397.01612106,54.81903217,178.03329321,411.26397938
33,-766.02725595,4208.78407237,5254.76483128,2461163.67458166,283.93130374,50.85081288,176.38400273,397.79205488,51.02771131,176.38400273,410.67669193
34,-732.66804652,4559.82715253,4959.35833453,2461163.67527610,284.18198817,47.03934061,174.94621233,398.59238944,47.21962456,174.94621233,410.06986850
35,-695.94004889,4889.90427473,4641.08321183,2461163.67597055,284.43267261,43.21777718,173.66736888,399.41047285,43.39825885,173.66736888,409.46272989
36,-656.01176641,5197.49511114,4301.40461451,2461163.67666499,284.68335705,39.38864864,172.51030006,400.23954057,39.56610951,172.51030006,408.87474528
37,-613.06648450,5481.18258901,3941.88691476,2461163.67735943,284.93404148,35.55379123,171.44792669,401.07280183,35.72504667,171.44792669,408.32523559
38,-567.30144408,5739.65962191,3564.18658692,2461163.67805388,285.18472592,31.71457702,170.45999025,401.90352570,31.87653904,170.45999025,407.83297567
39,-518.92694432,5971.73535400,3170.04461316,2461163.67874832,285.43541035,27.87205754,169.53095567,402.72512521,28.02179496,169.53095567,407.41580325
40,-468.16537825,6176.34087653,2761.27844465,2461163.67944277,285.68609496,24.02705811,168.64862425,403.53123823,24.16185334,168.64862425,407.09024243
41,-415.25020528,6352.53437748,2339.77355445,2461163.68013721,285.93677940,20.18024177,167.80318990,404.31580383,20.29764335,167.80318990,406.87114954
42,-360.42486543,6499.50568793,1907.47462266,2461163.68083166,286.18746383,16.33215379,166.98657668,405.07313290,16.43002363,166.98657668,406.77138880
43,-303.94164049,6616.58019216,1466.37639901,2461163.68152610,286.43814827,12.48325362,166.19196262,405.79797195,12.55980822,166.19196262,406.80154493
44,-246.06046828,6703.22207247,1018.51429182,2461163.68222055,286.68883270,8.63393848,165.41342484,406.48555911,8.68778322,165.41342484,406.96967906
45,-187.04771640,6759.03686428,565.95473604,2461163.68291499,286.93951714,4.78456154,164.64566583,407.13167148,4.81471739,164.64566583,407.28113346
46,-127.17492244,6783.77330276,110.78539559,2461163.68360943,287.19020158,0.93544644,163.88379258,407.73266336,0.94136837,163.88379258,407.73838913
47,-66.71750805,6777.32444740,-344.89474221,2461163.68430388,287.44088601,-2.91310031,163.12312832,408.28549454,-2.93151229,163.12312832,408.34098281
48,-5.95347446,6739.72807739,-798.98532122,2461163.68499832,287.69157045,-6.76077812,162.35904122,408.78774871,-6.80317889,162.35904122,409.08547576
49,54.83791269,6671.16635673,-1249.39456076,2461163.68569277,287.94225489,-10.60728130,161.58677647,409.23764152,-10.67288689,161.58677647,409.96549108
50,115.37744143,6571.96477406,-1694.04913021,2461163.68638721,288.19293932,-14.45228741,160.80127905,409.63401860,-14.53989098,160.80127905,410.97180274
51,175.38726653,6442.59036858,-2130.90389622,2461163.68708166,288.44362393,-18.29544396,159.99699262,409.97634360,-18.40343967,159.99699262,412.09248405
52,234.59221009,6283.64925914,-2557.95148636,2461163.68777610,288.69430836,-22.13635235,159.16761814,410.26467665,-22.26276688,159.16761814,413.31310884
53,292.72104209,6095.88349875,-2973.23161627,2461163.68847055,288.94499280,-25.97454737,158.30580653,410.49964389,-26.11707844,158.30580653,414.61700154
54,349.50773403,5880.16728219,-3374.84013039,2461163.68916499,289.19567724,-29.80947012,157.40275537,410.68239871,-29.96553118,157.40275537,415.98553051
55,404.69267911,5637.50253818,-3760.93771043,2461163.68985943,289.44636167,-33.64043081,156.44765777,410.81457549,-33.80720111,156.44765777,417.39843836
56,458.02387286,5369.01394138,-4129.75821039,2461163.69055388,289.69704611,-37.46655635,155.42692820,410.89823685,-37.64103541,155.42692820,418.83420234
57,509.25804883,5075.94338222,-4479.61658123,2461163.69124832,289.94773055,-41.28671422,154.32308337,410.93581554,-41.46577979,154.32308337,420.27041741
58,558.16176448,4759.64393474,-4808.91635355,2461163.69194277,290.19841498,-45.09939861,153.11307803,410.93005198,-45.27986732,153.11307803,421.68419424
59,604.51243305,4421.57336362,-5116.15665117,2461163.69263721,290.44909942,-48.90255498,151.76575472,410.88392874,-49.08124484,151.76575472,423.05256475
60,648.09929781,4063.28721235,-5399.93871356,2461163.69333166,290.69978386,-52.69330007,150.23780563,410.80060319,-52.86709452,150.23780563,424.35288729
61,688.72434567,3686.43151417,-5658.97190930,2461163.69402610,290.95046829,-56.46745736,148.46714037,410.68333959,-56.63337086,148.46714037,425.56324457
62,726.20315766,3292.73516663,-5892.07922717,2461163.69472055,291.20115290,-60.21875088,146.36153319,410.53544188,-60.37399722,146.36153319,426.66282724
63,760.36569453,2884.00200935,-6098.20223488,2461163.69541499,291.45183733,-63.93733078,143.77826027,410.36018840,-64.07939732,143.77826027,427.63229691
64,791.05701564,2462.10264283,-6276.40549878,2461163.69610943,291.70252177,-67.60690535,140.48561573,410.16076976,-67.73364102,140.48561573,428.45412271
65,818.13793031,2028.96602427,-6425.88046052,2461163.69680388,291.95320621,-71.19874735,136.08607265,409.94023097,-71.30848304,136.08607265,429.11288641
66,841.48558070,1586.57087401,-6545.94876840,2461163.69749832,292.20389064,-74.65811454,129.85552118,409.70141877,-74.74986225,129.85552118,429.59554383
67,860.99395553,1136.93692428,-6636.06506281,2461163.69819277,292.45457508,-77.87101079,120.40904632,409.44693532,-77.94486279,120.40904632,429.89168915
68,876.57433423,682.11603995,-6695.81921574,2461163.69888721,292.70525952,-80.58151977,105.18340574,409.17909882,-80.63955176,105.18340574,429.99367894
69,888.15566122,224.18323878,-6724.93802496,2461163.69958166,292.95594395,-82.24340483,81.21042055,408.89991184,-82.29147483,81.21042055,429.89682324
70,895.68484969,-234.77236216,-6723.28636295,2461163.70027610,293.20662839,-82.15845694,52.10571085,408.61103792,-82.20704248,52.10571085,429.59946198
71,899.12701467,-692.65664894,-6690.86778073,2461163.70097055,293.45731282,-80.37240810,28.93326284,408.31378676,-80.43168837,28.93326284,429.10300903
72,898.46563474,-1147.37963722,-6627.82456563,2461163.70166499,293.70799726,-77.59936247,14.35503254,408.00910817,-77.67478238,14.35503254,428.41194676
73,893.70264186,-1596.86459813,-6534.43725147,2461163.70235943,293.95868170,-74.35533286,5.27535086,407.69759497,-74.44873935,5.27535086,427.53377136
74,884.85843842,-2039.05715855,-6411.12357898,2461163.70305388,294.20936630,-70.87826220,-0.75070691,407.37949448,-70.98963026,-0.75070691,426.47890645
75,871.97184093,-2471.93434961,-6258.43690338,2461163.70374832,294.46005074,-67.27461088,-5.02981864,407.05472859,-67.40288231,-5.02981864,425.26049701
76,855.09994922,-2893.51357593,-6077.06404603,2461163.70444277,294.71073517,-63.59592117,-8.24711067,406.72292168,-63.73937721,-8.24711067,423.89427820
77,834.31794034,-3301.86147622,-5867.82258700,2461163.70513721,294.96141961,-59.86945235,-10.78068891,406.38343598,-60.02590232,-10.78068891,422.39829603
78,809.71878632,-3695.10264371,-5631.65759578,2461163.70583166,295.21210405,-56.11076988,-12.85207837,406.03541354,-56.27766741,-12.85207837,420.79263361
79,781.41289481,-4071.42817231,-5369.63779886,2461163.70652610,295.46278848,-52.32934298,-14.59835273,405.67782393,-52.50387236,-14.59835273,419.09909259
