UTC-Time on 20.06.2025,Julian Date [days],ECI X-Position [km],ECI Y-Position [km],ECI Z-Position [km]
15:20:00,2460847.1388888890,1240.7824707031,-3269.6318359375,5852.9003906250
15:20:30,2460847.1392361112,1117.5814208984,-3110.5874023438,5963.0566406250
15:21:00,2460847.1395833334,993.1203613281,-2948.0356445312,6066.4692382812
15:21:30,2460847.1399305556,867.5396118164,-2782.1596679688,6163.0224609375
15:22:00,2460847.1402777778,740.9807739258,-2613.1472167969,6252.6079101562
15:22:30,2460847.1406250000,613.5866699219,-2441.1884765625,6335.1240234375
15:23:00,2460847.1409722222,485.5009155273,-2266.4780273438,6410.4785156250
15:23:30,2460847.1413194444,356.8679504395,-2089.2126464844,6478.5859375000
15:24:00,2460847.1416666666,227.8328094482,-1909.5925292969,6539.3706054688
15:24:30,2460847.1420138888,98.5409240723,-1727.8199462891,6592.7636718750
15:25:00,2460847.1423611110,-30.8619632721,-1544.0999755859,6638.7045898438
15:25:30,2460847.1427083332,-160.2300109863,-1358.6396484375,6677.1425781250
15:26:00,2460847.1430555554,-289.4174194336,-1171.6481933594,6708.0332031250
15:26:30,2460847.1434027776,-418.2785949707,-983.3361206055,6731.3427734375
15:27:00,2460847.1437499998,-546.6683349609,-793.9158935547,6747.0444335938
15:27:30,2460847.1440972220,-674.4418945312,-603.6008300781,6755.1206054688
15:28:00,2460847.1444444442,-801.4553222656,-412.6055297852,6755.5620117188
15:28:30,2460847.1447916669,-927.5653686523,-221.1451416016,6748.3676757812
15:29:00,2460847.1451388891,-1052.6300048828,-29.4354705811,6733.5458984375
15:29:30,2460847.1454861113,-1176.5080566406,162.3074188232,6711.1132812500
15:30:00,2460847.1458333335,-1299.0600585938,353.8673706055,6681.0942382812
15:30:30,2460847.1461805557,-1420.1475830078,545.0285034180,6643.5224609375
15:31:00,2460847.1465277779,-1539.6341552734,735.5752563477,6598.4404296875
15:31:30,2460847.1468750001,-1657.3848876953,925.2927856445,6545.8984375000
15:32:00,2460847.1472222223,-1773.2670898438,1113.9671630859,6485.9550781250
15:32:30,2460847.1475694445,-1887.1496582031,1301.3854980469,6418.6772460938
15:33:00,2460847.1479166667,-1998.9041748047,1487.3363037109,6344.1411132812
15:33:30,2460847.1482638889,-2108.4042968750,1671.6098632812,6262.4296875000
15:34:00,2460847.1486111111,-2215.5263671875,1853.9980468750,6173.6352539062
15:34:30,2460847.1489583333,-2320.1494140625,2034.2949218750,6077.8569335938
15:35:00,2460847.1493055555,-2422.1547851562,2212.2971191406,5975.2026367188
15:35:30,2460847.1496527777,-2521.4274902344,2387.8029785156,5865.7871093750
15:36:00,2460847.1499999999,-2617.8549804688,2560.6147460938,5749.7343750000
15:36:30,2460847.1503472221,-2711.3281250000,2730.5368652344,5627.1743164062
15:37:00,2460847.1506944443,-2801.7412109375,2897.3771972656,5498.2451171875
15:37:30,2460847.1510416665,-2888.9914550781,3060.9470214844,5363.0917968750
15:38:00,2460847.1513888887,-2972.9802246094,3221.0612792969,5221.8666992188
15:38:30,2460847.1517361109,-3053.6123046875,3377.5385742188,5074.7290039062
15:39:00,2460847.1520833331,-3130.7961425781,3530.2021484375,4921.8442382812
15:39:30,2460847.1524305558,-3204.4443359375,3678.8789062500,4763.3857421875
15:40:00,2460847.1527777780,-3274.4731445312,3823.4006347656,4599.5312500000
15:40:30,2460847.1531250002,-3340.8029785156,3963.6032714844,4430.4667968750
15:41:00,2460847.1534722224,-3403.3586425781,4099.3281250000,4256.3828125000
15:41:30,2460847.1538194446,-3462.0690917969,4230.4218750000,4077.4760742188
15:42:00,2460847.1541666668,-3516.8674316406,4356.7348632812,3893.9489746094
15:42:30,2460847.1545138890,-3567.6916503906,4478.1250000000,3706.0090332031
15:43:00,2460847.1548611112,-3614.4836425781,4594.4541015625,3513.8688964844
15:43:30,2460847.1552083334,-3657.1906738281,4705.5903320312,3317.7458496094
15:44:00,2460847.1555555556,-3695.7639160156,4811.4082031250,3117.8623046875
15:44:30,2460847.1559027778,-3730.1594238281,4911.7871093750,2914.4443359375
15:45:00,2460847.1562500000,-3760.3383789062,5006.6137695312,2707.7224121094
15:45:30,2460847.1565972222,-3786.2663574219,5095.7802734375,2497.9306640625
15:46:00,2460847.1569444444,-3807.9138183594,5179.1865234375,2285.3073730469
15:46:30,2460847.1572916666,-3825.2565917969,5256.7377929688,2070.0930175781
15:47:00,2460847.1576388888,-3838.2749023438,5328.3457031250,1852.5317382812
15:47:30,2460847.1579861110,-3846.9538574219,5393.9301757812,1632.8702392578
15:48:00,2460847.1583333332,-3851.2841796875,5453.4174804688,1411.3575439453
15:48:30,2460847.1586805554,-3851.2607421875,5506.7392578125,1188.2449951172
15:49:00,2460847.1590277776,-3846.8837890625,5553.8369140625,963.7854003906
15:49:30,2460847.1593749998,-3838.1586914062,5594.6567382812,738.2333374023
15:50:00,2460847.1597222220,-3825.0957031250,5629.1533203125,511.8445434570
15:50:30,2460847.1600694442,-3807.7097167969,5657.2880859375,284.8756408691
15:51:00,2460847.1604166669,-3786.0212402344,5679.0302734375,57.5839424133
15:51:30,2460847.1607638891,-3760.0549316406,5694.3559570312,-169.7730102539
15:52:00,2460847.1611111113,-3729.8405761719,5703.2485351562,-396.9376220703
15:52:30,2460847.1614583335,-3695.4133300781,5705.6987304688,-623.6525878906
15:53:00,2460847.1618055557,-3656.8122558594,5701.7050781250,-849.6612548828
15:53:30,2460847.1621527779,-3614.0820312500,5691.2724609375,-1074.7077636719
15:54:00,2460847.1625000001,-3567.2714843750,5674.4150390625,-1298.5373535156
15:54:30,2460847.1628472223,-3516.4340820312,5651.1518554688,-1520.8970947266
15:55:00,2460847.1631944445,-3461.6284179688,5621.5112304688,-1741.5356445312
15:55:30,2460847.1635416667,-3402.9167480469,5585.5273437500,-1960.2034912109
15:56:00,2460847.1638888889,-3340.3664550781,5543.2431640625,-2176.6538085938
15:56:30,2460847.1642361111,-3274.0488281250,5494.7070312500,-2390.6425781250
15:57:00,2460847.1645833333,-3204.0395507812,5439.9750976562,-2601.9279785156
15:57:30,2460847.1649305555,-3130.4187011719,5379.1113281250,-2810.2719726562
15:58:00,2460847.1652777777,-3053.2700195312,5312.1855468750,-3015.4401855469
15:58:30,2460847.1656249999,-2972.6813964844,5239.2749023438,-3217.2011718750
15:59:00,2460847.1659722221,-2888.7446289062,5160.4628906250,-3415.3283691406
15:59:30,2460847.1663194443,-2801.5549316406,5075.8398437500,-3609.5991210938
16:00:00,2460847.1666666665,-2711.2116699219,4985.5029296875,-3799.7946777344
16:00:30,2460847.1670138887,-2617.8171386719,4889.5556640625,-3985.7019042969
16:01:00,2460847.1673611109,-2521.4772949219,4788.1069335938,-4167.1123046875
16:01:30,2460847.1677083331,-2422.3017578125,4681.2729492188,-4343.8227539062
