Julian Date [days],Satellite ECI X-Position [km],Satellite ECI Y-Position [km],Satellite ECI Z-Position [km],Ground Station ECI X-Position [km],Ground Station ECI Y-Position [km],Ground Station ECI Z-Position [km],SEZ-South Distance [km],SEZ-East Distance [km],SEZ-Zenith Distance [km],Slant Range [km],Azimuth [deg],Elevation [deg]
2460847.1271990743,3828.0971679688,-5626.4965820312,-571.2700195312,-3373.7956542969,2376.4726562500,4847.2338867188,-4515.9697393296,2395.4117174003,-10915.2635302761,12053.0061776212,27.9428788754,-64.9048998017
2460847.1273148148,3823.0495605469,-5636.9736328125,-495.7469787598,-3375.5275878906,2374.0119628906,4847.2338867188,-4564.8512837744,2411.5293957626,-10857.6932864467,12022.5972556746,27.8466936298,-64.5695396062
2460847.1274305554,3817.5227050781,-5646.7441406250,-420.1615905762,-3377.2578125000,2371.5498046875,4847.2338867188,-4613.1481833540,2427.3462171118,-10799.5467771983,11991.8037180486,27.7524468531,-64.2340609893
2460847.1275462965,3811.5173339844,-5655.8066406250,-344.5234069824,-3378.9863281250,2369.0864257812,4847.2338867188,-4660.8549955923,2442.8577230194,-10740.8321894431,11960.6270432043,27.6600328688,-63.8984677976
2460847.1276620370,3805.0339355469,-5664.1596679688,-268.8418884277,-3380.7128906250,2366.6218261719,4847.2338867188,-4707.9649989184,2458.0614451763,-10681.5559889378,11929.0669729076,27.5693762326,-63.5627612325
2460847.1277777776,3798.0737304688,-5671.8032226562,-193.1265869141,-3382.4377441406,2364.1560058594,4847.2338867188,-4754.4738314201,2472.9549263231,-10621.7272763888,11897.1264520163,27.4803935299,-63.2269391605
2460847.1278935187,3790.6372070312,-5678.7353515625,-117.3870010376,-3384.1608886719,2361.6887207031,4847.2338867188,-4800.3746314078,2487.5344308836,-10561.3530385306,11864.8051880835,27.3930053885,-62.8910071425
2460847.1280092592,3782.7255859375,-5684.9550781250,-41.6326446533,-3385.8823242188,2359.2204589844,4847.2338867188,-4845.6637861297,2501.7967352729,-10500.4417306655,11832.1055172752,27.3071250037,-62.5549606044
2460847.1281249998,3774.3395996094,-5690.4624023438,34.1269416809,-3387.6015625000,2356.7507324219,4847.2338867188,-4890.3343526191,2515.7387848783,-10439.0002707951,11799.0270093685,27.2226867932,-62.2188040562
2460847.1282407409,3765.4802246094,-5695.2563476562,109.8822402954,-3389.3193359375,2354.2797851562,4847.2338867188,-4934.3818937415,2529.3588135300,-10377.0376960126,11765.5723203477,27.1396280047,-61.8825347773
2460847.1283564814,3756.1486816406,-5699.3359375000,185.6237182617,-3391.0351562500,2351.8076171875,4847.2338867188,-4977.8001037637,2542.6531181989,-10314.5614632050,11731.7414278849,27.0578797030,-61.5461575855
2460847.1284722220,3746.3461914062,-5702.7006835938,261.3418579102,-3392.7492675781,2349.3342285156,4847.2338867188,-5020.5856783778,2555.6183028301,-10251.5802885147,11697.5366584403,26.9773646336,-61.2096682404
2460847.1285879631,3736.0737304688,-5705.3505859375,337.0271301270,-3394.4614257812,2346.8596191406,4847.2338867188,-5062.7318107567,2568.2523975179,-10188.1012050711,11662.9575978727,26.8980374394,-60.8730693110
2460847.1287037036,3725.3327636719,-5707.2846679688,412.6700134277,-3396.1718750000,2344.3837890625,4847.2338867188,-5104.2344885820,2580.5523238686,-10124.1342486907,11628.0073226742,26.8198320978,-60.5363621246
2460847.1288194442,3714.1247558594,-5708.5029296875,488.2609863281,-3397.8806152344,2341.9064941406,4847.2338867188,-5145.0885670087,2592.5148816699,-10059.6859395687,11592.6852358200,26.7426890996,-60.1995443245
2460847.1289351853,3702.4506835938,-5709.0053710938,563.7905883789,-3399.5874023438,2339.4282226562,4847.2338867188,-5185.2892122850,2604.1387302300,-9994.7662583355,11556.9942156291,26.6665661623,-59.8626173192
2460847.1290509258,3690.3122558594,-5708.7919921875,639.2492065430,-3401.2924804688,2336.9484863281,4847.2338867188,-5224.8316036082,2615.4200294996,-9929.3826386885,11520.9342851289,26.5914007307,-59.5255812519
2460847.1291666669,3677.7111816406,-5707.8623046875,714.6275024414,-3402.9958496094,2334.4675292969,4847.2338867188,-5263.7122574673,2626.3565245779,-9863.5442846951,11484.5078771250,26.5171403851,-59.1884326487
2460847.1292824075,3664.6486816406,-5706.2163085938,789.9158325195,-3404.6972656250,2331.9855957031,4847.2338867188,-5301.9248633019,2636.9456152797,-9797.2589688956,11447.7147386562,26.4437437783,-58.8511761097
2460847.1293981480,3651.1264648438,-5703.8549804688,865.1048583984,-3406.3967285156,2329.5021972656,4847.2338867188,-5339.4664156402,2647.1847508075,-9730.5359798827,11410.5573555566,26.3711572719,-58.5138075278
